Time,Type,Page,IP,Country,Dwell,Analytics Fired
03:30:52,ORGANIC,home,185.115.75.43,CZ,221.4s,12
03:31:05,ORGANIC,home,5.129.202.104,RU,190.4s,12
03:31:49,ORGANIC,home,116.80.96.95,JP,270.5s,12
03:32:42,DIRECT,home,185.115.75.43,CZ,1.0s,12
03:35:45,ORGANIC,home,165.227.5.10,US,265.0s,1
03:35:51,ORGANIC,home,141.136.63.126,VE,224.1s,12
03:36:43,DIRECT,home,117.0.225.13,VN,9.1s,12
03:36:44,ORGANIC,home,162.240.154.26,US,255.0s,12
03:37:18,DIRECT,home,113.160.132.26,VN,3.9s,2
03:38:45,DIRECT,home,41.57.6.30,ZA,30.9s,8
03:42:48,ORGANIC,home,116.80.49.156,JP,169.9s,12
03:43:06,DIRECT,home,103.30.30.6,BD,41.2s,5
03:43:36,ORGANIC,home,36.70.101.226,ID,171.9s,10
03:44:39,ORGANIC,home,125.161.135.183,ID,185.9s,12
03:45:35,ORGANIC,home,180.252.128.30,ID,217.3s,12
03:46:22,ORGANIC,home,200.41.170.211,AR,207.2s,8
03:47:21,ORGANIC,home,45.229.9.167,BR,121.8s,8
03:48:44,DIRECT,home,200.41.170.211,AR,1.8s,8
03:49:54,DIRECT,about,45.229.9.167,BR,1.5s,1
03:50:55,ORGANIC,home,121.126.185.63,KR,176.6s,3
03:59:09,ORGANIC,home,1.231.81.166,KR,160.3s,12
03:59:51,ORGANIC,home,36.70.105.21,ID,132.9s,12
04:01:21,ORGANIC,home,115.75.184.174,VN,278.5s,12
04:02:16,DIRECT,home,1.231.81.166,KR,1.0s,12
04:06:10,ORGANIC,home,138.117.230.131,GT,200.9s,10
04:08:09,ORGANIC,home,103.171.254.26,ID,280.2s,8
04:09:56,DIRECT,home,103.156.15.232,ID,13.6s,12
04:13:35,ORGANIC,home,113.11.64.10,BD,296.3s,8
04:13:52,ORGANIC,home,200.174.198.25,BR,335.6s,9
04:14:05,DIRECT,home,36.70.101.226,ID,5.1s,12
04:15:37,ORGANIC,home,119.18.147.81,BD,256.7s,10
04:16:54,DIRECT,home,180.252.128.30,ID,25.2s,12
04:18:06,ORGANIC,home,138.124.53.25,DE,167.8s,1
04:19:11,ORGANIC,home,103.165.123.109,ID,182.8s,7
04:20:09,DIRECT,contact,138.124.53.25,DE,0.3s,1
04:20:19,ORGANIC,home,103.217.224.65,ID,180.8s,8
04:21:20,ORGANIC,home,45.167.124.52,CO,244.4s,12
04:22:21,ORGANIC,home,190.9.109.221,MX,170.0s,12
04:23:23,ORGANIC,home,116.111.255.67,VN,200.1s,12
04:26:16,ORGANIC,home,103.229.14.115,ID,264.2s,8
04:27:18,DIRECT,home,116.111.255.67,VN,6.5s,10
04:30:53,ORGANIC,home,116.80.96.105,JP,282.3s,12
04:31:02,ORGANIC,home,200.24.130.149,EC,284.1s,12
04:31:10,ORGANIC,home,103.84.95.54,HK,279.5s,10
04:31:27,DIRECT,home,116.68.203.120,BD,15.6s,12
04:31:39,ORGANIC,home,45.136.130.166,US,286.2s,12
04:32:46,DIRECT,home,150.107.140.227,ID,19.2s,12
04:34:30,DIRECT,home,45.136.130.166,US,32.2s,12
04:36:46,ORGANIC,home,125.27.192.162,TH,130.6s,10
04:39:57,ORGANIC,home,116.80.96.108,JP,229.2s,12
04:43:16,ORGANIC,home,148.81.121.5,PL,229.7s,12
04:43:52,ORGANIC,home,185.115.75.43,CZ,187.6s,12
04:44:37,ORGANIC,home,36.84.18.80,ID,251.6s,12
04:47:36,DIRECT,home,45.136.131.47,US,7.3s,12
04:54:29,ORGANIC,home,160.119.228.146,ZA,258.3s,12
04:54:50,ORGANIC,home,103.173.138.157,ID,241.3s,8
04:56:48,ORGANIC,home,103.171.255.204,ID,236.5s,8
04:58:45,ORGANIC,home,94.141.243.130,KZ,244.0s,8
04:59:01,DIRECT,home,160.119.228.146,ZA,19.7s,12
05:07:14,ORGANIC,home,110.137.58.111,ID,231.1s,10
05:07:43,ORGANIC,home,117.102.80.243,ID,328.8s,8
05:08:08,ORGANIC,home,103.153.62.92,ID,289.3s,8
05:09:09,ORGANIC,home,150.107.140.227,ID,393.9s,12
05:09:24,ORGANIC,home,45.136.130.188,US,347.7s,12
05:10:02,DIRECT,home,117.102.80.243,ID,1.0s,12
05:11:33,ORGANIC,home,121.126.185.63,KR,314.3s,1
05:11:43,ORGANIC,home,200.94.130.54,MX,316.4s,10
05:16:55,DIRECT,home,121.126.185.63,KR,15.5s,2
05:18:48,ORGANIC,home,125.161.135.183,ID,304.8s,12
05:21:50,ORGANIC,home,103.3.246.71,VN,277.9s,12
05:22:29,DIRECT,home,45.136.131.47,US,11.3s,12
05:23:53,ORGANIC,home,160.119.228.146,ZA,294.3s,12
